family
"Pellorneidae - Họ Chuối tiêu
"
"Sulidae - Họ Cò biển"
"Bucerotidae - Họ Mỏ Sừng"
"Gruidae - Họ Sếu"
"Cuculidae - Họ Cu Cu"
"Estrildidae - Họ Chim di"
Haematopodidae
"Bucerotidae - Họ Mỏ Sừng"
"Anatidae - Họ Vịt"
"Diomedeidae - Họ Hải âu mày đen"
"Passerellidae - Họ Sẻ Tân Thế giới"
"Psittaculidae - Họ Vẹt"
"Corvidae - Họ Quạ"
Parulidae
"Recurvirostridae - Họ Cà kheo"
"Ardeidae - Họ Diệc"
"Rallidae - Họ Gà nước"
"Cinclidae - Họ Lội suối"
"Phoenicopteridae - Họ Hồng hạc"
"Fringillidae - Họ Sẻ thông"
"Falconidae - Họ Cắt"
"Motacillidae - Họ Chìa vôi"
Parulidae
"Turdidae - Họ Hoét"
"Anatidae - Họ Vịt"
"Trochilidae - Họ Chim ruồi"
"Anatidae - Họ Vịt"
"Charadriidae - Họ Choi choi"
"Fringillidae - Họ Sẻ thông"
Anhingidae
"Fringillidae - Họ Sẻ thông"
"Trochilidae - Họ Chim ruồi"
Formicariidae
"Fringillidae - Họ Sẻ thông"
"Fringillidae - Họ Sẻ thông"
"Artamidae - Họ Én"
"Pipridae - Họ Chim chào mào"
"Hydrobatidae - Họ Hải yến"
"Furnariidae - Họ chim sẻ mỏ cong"
"Threskiornithidae - Họ chim diệc"
"Coraciidae - Họ Sả rừng"
"Meropidae - Họ Trảu"
"Ciconiidae - Họ Hạc"
"Phalacrocoracidae - Họ Cốc"
"Furnariidae - Họ chim sẻ mỏ cong"
"Oriolidae - Họ Vàng anh"
"Estrildidae - Họ Chim di"
"Furnariidae - Họ chim sẻ mỏ cong"
"Pittidae - Họ Đuôi cụt"
"Corvidae - Họ Quạ"
Thraupidae
"Paridae - Họ Bạc má"
"Anatidae - Họ Vịt"
"Accipitridae - Họ Ưng"
"Threskiornithidae - Họ chim diệc"
"Sturnidae - Họ Sáo"
Icteridae
Coerebidae
Cracidae
"Eurylaimidae - Họ Mỏ rộng"
"Pittidae - Họ Đuôi cụt"
"Recurvirostridae - Họ Cà kheo"
"Scolopacidae - Họ Rẽ"
"Tytonidae - Họ Cú lợn"
"Hirundinidae - Họ Én"
Bucconidae
"Anatidae - Họ Vịt"
Parulidae
Lybiidae
Cotingidae
Panuridae
"Alcedinidae - Họ Bồng chanh"
Paradisaeidae
"Eurylaimidae - Họ Mỏ rộng"
"Accipitridae - Họ Ưng"
Bucconidae
"Cacatuidae - Họ Vẹt mào"
"Threskiornithidae - Họ chim diệc"
"Phasianidae - Họ Trĩ"
"Psittacidae - Họ Vẹt"
"Recurvirostridae - Họ Cà kheo"
"Laridae - Họ Mòng biển"
"Anatidae - Họ Vịt"
"Rallidae - Họ Gà nước"
"Aegithalidae - Họ Bạc má đuôi dài"
