bird_order
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Anseriformes - Bộ Ngỗng"
"Podicipediformes - Bộ Chim lặn"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Psittaciformes - Bộ Vẹt"
"Piciformes - Bộ Gõ kiến"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
Gaviiformes
"Caprimulgiformes - Bộ Cú muỗi"
"Passeriformes - Bộ Sẻ"
"Piciformes - Bộ Gõ kiến"
"Cuculiformes - Bộ Cu cu"
"Charadriiformes - Bộ Cun cút"
"Accipitriformes - Bộ Ưng"
"Piciformes - Bộ Gõ kiến"
"Charadriiformes - Bộ Cun cút"
"Falconiformes - Bộ Cắt"
"Cuculiformes - Bộ Cu cu"
"Galliformes - Bộ Gà"
"Coraciiformes - Bộ Sả"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Accipitriformes - Bộ Ưng"
"Passeriformes - Bộ Sẻ"
"Galliformes - Bộ Gà"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Coraciiformes - Bộ Sả"
"Trogoniformes - Bộ Nuốc"
"Piciformes - Bộ Gõ kiến"
"Piciformes - Bộ Gõ kiến"
"Pelecaniformes - Bộ Bồ nông"
"Piciformes - Bộ Gõ kiến"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Gruiformes - Bộ Sếu"
"Passeriformes - Bộ Sẻ"
"Suliformes - Bộ Chim điên"
"Psittaciformes - Bộ Vẹt"
"Piciformes - Bộ Gõ kiến"
"Charadriiformes - Bộ Cun cút"
"Psittaciformes - Bộ Vẹt"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Psittaciformes - Bộ Vẹt"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Psittaciformes - Bộ Vẹt"
"Passeriformes - Bộ Sẻ"
"Caprimulgiformes - Bộ Cú muỗi"
"Passeriformes - Bộ Sẻ"
"Apodiformes - Bộ Yến"
"Anseriformes - Bộ Ngỗng"
"Trogoniformes - Bộ Nuốc"
"Galliformes - Bộ Gà"
"Passeriformes - Bộ Sẻ"
"Sphenisciformes "
"Casuariiformes - Bộ Đà điểu châu Úc"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Columbiformes - Bộ Bồ câu"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
Sphenisciformes
"Charadriiformes - Bộ Cun cút"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
Sphenisciformes
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Suliformes - Bộ Chim điên"
"Columbiformes - Bộ Bồ câu"
"Galliformes - Bộ Gà"
"Psittaciformes - Bộ Vẹt"
"Piciformes - Bộ Gõ kiến"
"Piciformes - Bộ Gõ kiến"
"Pelecaniformes - Bộ Bồ nông"
"Musophagiformes "
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Accipitriformes - Bộ Ưng"
"Psittaciformes - Bộ Vẹt"
"Galliformes - Bộ Gà"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Galliformes - Bộ Gà"
"Galliformes - Bộ Gà"
"Strigiformes - Bộ Cú"
Galbuliformes
"Passeriformes - Bộ Sẻ"
"Caprimulgiformes - Bộ Cú muỗi"
"Tinamiformes "
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Galliformes - Bộ Gà"
"Galliformes - Bộ Gà"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Passeriformes - Bộ Sẻ"
"Columbiformes - Bộ Bồ câu"
"Passeriformes - Bộ Sẻ"
"Galliformes - Bộ Gà"
"Accipitriformes - Bộ Ưng"
"Charadriiformes - Bộ Cun cút"
"Cuculiformes - Bộ Cu cu"
"Musophagiformes "
"Galliformes - Bộ Gà"
"Passeriformes - Bộ Sẻ"
"Falconiformes - Bộ Cắt"
"Pelecaniformes - Bộ Bồ nông"
